"INICIO_SINTOMAS","CASOS","CUM_CASOS","DADOS"
2020-02-26,1,1,"Atuais"
2020-02-29,1,2,"Atuais"
2020-03-01,1,3,"Atuais"
2020-03-04,3,6,"Atuais"
2020-03-06,1,7,"Atuais"
2020-03-07,3,10,"Atuais"
2020-03-08,5,15,"Atuais"
2020-03-09,5,20,"Atuais"
2020-03-10,5,25,"Atuais"
2020-03-11,2,27,"Atuais"
2020-03-12,5,32,"Atuais"
2020-03-13,12,44,"Atuais"
2020-03-14,13,57,"Atuais"
2020-03-15,21,78,"Atuais"
2020-03-16,25,103,"Atuais"
2020-03-17,24,127,"Atuais"
2020-03-18,13,140,"Atuais"
2020-03-19,18,158,"Atuais"
2020-03-20,22,180,"Atuais"
2020-03-21,10,190,"Atuais"
2020-03-22,13,203,"Atuais"
2020-03-23,13,216,"Atuais"
2020-03-24,9,225,"Atuais"
2020-03-25,10,235,"Atuais"
2020-03-26,11,246,"Atuais"
2020-03-27,13,259,"Atuais"
2020-03-28,11,270,"Atuais"
2020-03-29,11,281,"Atuais"
2020-03-30,8,289,"Atuais"
2020-03-31,5,294,"Atuais"
2020-04-01,18,312,"Atuais"
2020-04-02,8,320,"Atuais"
2020-04-03,6,326,"Atuais"
2020-04-04,9,335,"Atuais"
2020-04-05,7,342,"Atuais"
2020-04-06,10,352,"Atuais"
2020-04-07,6,358,"Atuais"
2020-04-08,10,368,"Atuais"
2020-04-09,3,371,"Atuais"
2020-04-10,10,381,"Atuais"
2020-04-11,7,388,"Atuais"
2020-04-12,6,394,"Atuais"
2020-04-13,9,403,"Atuais"
2020-04-14,3,406,"Atuais"
2020-04-15,9,415,"Atuais"
2020-04-16,5,420,"Atuais"
2020-04-17,3,423,"Atuais"
2020-04-18,9,432,"Atuais"
2020-04-19,7,439,"Atuais"
2020-04-20,19,458,"Atuais"
2020-04-21,9,467,"Atuais"
2020-04-22,13,480,"Atuais"
2020-04-23,7,487,"Atuais"
2020-04-24,3,490,"Atuais"
2020-04-25,5,495,"Atuais"
2020-04-26,6,501,"Atuais"
2020-04-27,8,509,"Atuais"
2020-04-28,7,516,"Atuais"
2020-04-29,3,519,"Atuais"
2020-04-30,4,523,"Atuais"
2020-05-01,3,526,"Atuais"
2020-02-24,1,1,"Totais"
2020-02-26,1,2,"Totais"
2020-02-29,1,3,"Totais"
2020-03-01,2,5,"Totais"
2020-03-04,3,8,"Totais"
2020-03-06,1,9,"Totais"
2020-03-07,5,14,"Totais"
2020-03-08,10,24,"Totais"
2020-03-09,7,31,"Totais"
2020-03-10,9,40,"Totais"
2020-03-11,3,43,"Totais"
2020-03-12,6,49,"Totais"
2020-03-13,17,66,"Totais"
2020-03-14,16,82,"Totais"
2020-03-15,31,113,"Totais"
2020-03-16,37,150,"Totais"
2020-03-17,29,179,"Totais"
2020-03-18,24,203,"Totais"
2020-03-19,29,232,"Totais"
2020-03-20,33,265,"Totais"
2020-03-21,18,283,"Totais"
2020-03-22,14,297,"Totais"
2020-03-23,19,316,"Totais"
2020-03-24,11,327,"Totais"
2020-03-25,14,341,"Totais"
2020-03-26,18,359,"Totais"
2020-03-27,27,386,"Totais"
2020-03-28,18,404,"Totais"
2020-03-29,16,420,"Totais"
2020-03-30,10,430,"Totais"
2020-03-31,6,436,"Totais"
2020-04-01,24,460,"Totais"
2020-04-02,12,472,"Totais"
2020-04-03,7,479,"Totais"
2020-04-04,13,492,"Totais"
2020-04-05,17,509,"Totais"
2020-04-06,20,529,"Totais"
2020-04-07,12,541,"Totais"
2020-04-08,12,553,"Totais"
2020-04-09,8,561,"Totais"
2020-04-10,18,579,"Totais"
2020-04-11,8,587,"Totais"
2020-04-12,10,597,"Totais"
2020-04-13,11,608,"Totais"
2020-04-14,3,611,"Totais"
2020-04-15,14,625,"Totais"
2020-04-16,8,633,"Totais"
2020-04-17,6,639,"Totais"
2020-04-18,15,654,"Totais"
2020-04-19,7,661,"Totais"
2020-04-20,29,690,"Totais"
2020-04-21,9,699,"Totais"
2020-04-22,15,714,"Totais"
2020-04-23,8,722,"Totais"
2020-04-24,3,725,"Totais"
2020-04-25,5,730,"Totais"
2020-04-26,6,736,"Totais"
2020-04-27,11,747,"Totais"
2020-04-28,9,756,"Totais"
2020-04-29,4,760,"Totais"
2020-04-30,4,764,"Totais"
2020-05-01,3,767,"Totais"
