"INICIO_SINTOMAS","DADOS","CASOS.x","CASOS.y","CASOS.x","CASOS.y","CASOS","MEDIANA_CASOS"
2020-02-24,"Totais",1,1,1,1,1,1
2020-02-25,"Totais",1,1,1,1,1,1
2020-03-01,"Atuais",2,2,2,2,2,2
2020-03-01,"Totais",2,2,2,2,2,2
2020-03-02,"Atuais",1,1,1,1,1,1
2020-03-02,"Totais",1,1,1,1,1,1
2020-03-04,"Atuais",3,3,3,3,3,3
2020-03-04,"Totais",4,4,4,4,4,4
2020-03-05,"Atuais",1,1,1,1,1,1
2020-03-05,"Totais",1,1,1,1,1,1
2020-03-07,"Atuais",1,1,1,1,1,1
2020-03-07,"Totais",1,1,1,1,1,1
2020-03-08,"Atuais",3,3,3,3,3,3
2020-03-08,"Totais",4,4,4,4,4,4
2020-03-09,"Atuais",3,3,3,3,3,3
2020-03-09,"Totais",4,4,4,4,4,4
2020-03-10,"Atuais",2,2,2,2,2,2
2020-03-10,"Totais",3,3,3,3,3,3
2020-03-11,"Atuais",1,1,1,1,1,1
2020-03-11,"Totais",1,1,1,1,1,1
2020-03-12,"Atuais",3,3,3,3,3,3
2020-03-12,"Totais",3,3,3,3,3,3
2020-03-13,"Atuais",3,3,3,3,3,3
2020-03-13,"Totais",3,3,3,3,3,3
2020-03-14,"Atuais",6,6,6,6,6,6
2020-03-14,"Totais",8,8,8,8,8,8
2020-03-15,"Atuais",13,13,13,13,13,13
2020-03-15,"Totais",16,16,16,16,16,16
2020-03-16,"Atuais",19,19,19,19,19,19
2020-03-16,"Totais",22,22,21,22,22,22
2020-03-17,"Atuais",9,9,9,9,9,9
2020-03-17,"Totais",10,10,10,10,10,10
2020-03-18,"Atuais",8,8,8,8,8,8
2020-03-18,"Totais",11,11,11,11,11,11
2020-03-19,"Atuais",8,8,8,8,8,8
2020-03-19,"Totais",8,8,8,8,8,8
2020-03-20,"Atuais",16,16,16,16,16,16
2020-03-20,"Totais",22,22,22,22,22,22
2020-03-21,"Atuais",5,5,5,5,5,5
2020-03-21,"Totais",8,8,8,8,8,8
2020-03-22,"Atuais",7,7,7,7,7,7
2020-03-22,"Totais",7,7,7,7,7,7
2020-03-23,"Atuais",3,3,3,3,3,3
2020-03-23,"Totais",7,7,7,7,7,7
2020-03-24,"Atuais",2,2,2,2,2,2
2020-03-24,"Totais",6,6,6,6,5,6
2020-03-25,"Atuais",6,6,6,6,6,6
2020-03-25,"Totais",7,7,7,7,7,7
2020-03-26,"Atuais",4,4,4,4,4,4
2020-03-26,"Totais",7,7,7,7,7,7
2020-03-27,"Atuais",9,9,9,9,9,9
2020-03-27,"Totais",10,10,10,9,10,10
2020-03-28,"Atuais",2,2,2,2,2,2
2020-03-28,"Totais",4,4,4,4,4,4
2020-03-29,"Atuais",2,2,2,2,2,2
2020-03-29,"Totais",3,3,3,3,3,3
2020-03-30,"Atuais",3,3,3,3,3,3
2020-03-30,"Totais",5,5,6,4,6,5
2020-03-31,"Atuais",1,1,1,1,1,1
2020-03-31,"Totais",2,2,2,2,2,2
2020-04-01,"Atuais",5,5,5,5,5,5
2020-04-01,"Totais",6,8,6,5,7,6
2020-04-02,"Atuais",2,2,2,2,2,2
2020-04-02,"Totais",6,4,7,6,8,6
2020-04-03,"Atuais",3,3,3,3,3,3
2020-04-03,"Totais",4,4,6,5,6,5
2020-04-04,"Atuais",7,7,7,7,7,7
2020-04-04,"Totais",12,12,11,10,11,11
2020-04-05,"Atuais",5,5,5,5,5,5
2020-04-05,"Totais",7,7,9,8,8,8
2020-04-06,"Atuais",8,8,8,8,8,8
2020-04-06,"Totais",15,12,15,16,14,15
2020-04-07,"Atuais",2,2,2,2,2,2
2020-04-07,"Totais",7,6,7,7,4,7
2020-04-08,"Atuais",9,9,9,9,9,9
2020-04-08,"Totais",11,10,9,10,9,10
2020-04-09,"Totais",2,1,2,1,1,1
2020-04-10,"Atuais",6,6,6,6,6,6
2020-04-10,"Totais",10,9,13,11,11,11
2020-04-11,"Atuais",7,7,7,7,7,7
2020-04-11,"Totais",14,9,15,12,14,14
2020-04-12,"Atuais",6,6,6,6,6,6
2020-04-12,"Totais",9,9,12,11,7,9
