"TERRITORIO","populacao populacao"
"cs_abraao",11567
"cs_agronomica",18325
"cs_alto_ribeirao",5396
"cs_armacao",5201
"cs_balneario",8503
"cs_barra_da_lagoa",6771
"cs_cachoeira_do_bom_jesus",6782
"cs_caieira_da_barra_do_sul",1983
"cs_campeche",11075
"cs_canasvieiras",17565
"cs_canto_da_lagoa",4147
"cs_capoeiras",10471
"cs_carianos",9529
"cs_centro",39309
"cs_coloninha",11438
"cs_coqueiros",15173
"cs_corrego_grande",14897
"cs_costa_da_lagoa",959
"cs_costeira_do_pirajubae",11249
"cs_estreito",15887
"cs_fazenda_do_rio_tavares",10426
"cs_ingleses",28295
"cs_itacorubi",17926
"cs_jardim_atlantico",6238
"cs_joao_paulo",6979
"cs_jurere",8252
"cs_lagoa_da_conceicao",8738
"cs_monte_cristo",15447
"cs_monte_serrat",10581
"cs_morro_das_pedras",6869
"cs_novo_continente",6929
"cs_pantanal",8746
"cs_pantano_do_sul",3377
"cs_ponta_das_canas",4949
"cs_prainha",7712
"cs_ratones",3334
"cs_ribeirao_da_ilha",2742
"cs_rio_tavares",9093
"cs_rio_vermelho",15039
"cs_saco_dos_limoes",13825
"cs_saco_grande",16279
"cs_santinho",8107
"cs_santo_antonio_de_lisboa",8632
"cs_sape",5882
"cs_tapera",13719
"cs_trindade",24877
"cs_vargem_grande",5911
"cs_vargem_pequena",1964
"cs_vila_aparecida",3536
